Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,"AI Impact",Tasks,"AI models",AI_Workload_Ratio,Domain
"Cybersecurity Analyst",Entertainment,Small,Dubai,Medium,High,"UX/UI Design",111392,Yes,Growth,20,7,54,0.12963,"Medical & Healthcare"
"Marketing Specialist",Technology,Large,Singapore,Medium,High,Marketing,93792.6,No,Decline,20,281,2181,0.12884,"Leadership & Strategy"
"Cybersecurity Analyst",Entertainment,Small,Tokyo,Low,Low,JavaScript,87752.9,Yes,Decline,20,7,54,0.12963,"Medical & Healthcare"
"UX Designer",Education,Large,"San Francisco",Medium,Medium,Cybersecurity,102825,No,Growth,50,129,993,0.129909,"Communication & PR"
"Cybersecurity Analyst",Technology,Small,Dubai,Medium,Low,"Machine Learning",86607.3,Yes,Decline,20,7,54,0.12963,"Medical & Healthcare"
"Marketing Specialist",Finance,Small,London,High,High,Python,91567,Yes,Growth,20,281,2181,0.12884,"Leadership & Strategy"
"Product Manager",Finance,Medium,Singapore,High,High,JavaScript,101002,Yes,Growth,60,195,1732,0.112587,"Supply Chain & Logistics"
"Software Engineer",Manufacturing,Medium,Singapore,High,Medium,"Machine Learning",78401.3,No,Decline,60,133,1342,0.0991058,"Communication & PR"
"Product Manager",Finance,Large,"San Francisco",Medium,High,"UX/UI Design",97645.1,Yes,Stable,60,195,1732,0.112587,"Supply Chain & Logistics"
"Software Engineer",Entertainment,Small,Dubai,Low,Low,"UX/UI Design",73920.5,Yes,Growth,60,133,1342,0.0991058,"Communication & PR"
"Data Scientist",Manufacturing,Small,Dubai,Medium,High,JavaScript,81794.4,Yes,Growth,70,180,1091,0.164986,"Data & IT"
"UX Designer",Retail,Small,Tokyo,High,Medium,Cybersecurity,41495.7,No,Decline,50,129,993,0.129909,"Communication & PR"
"Product Manager",Manufacturing,Medium,Paris,Medium,Medium,"Data Analysis",89396.6,Yes,Decline,60,195,1732,0.112587,"Supply Chain & Logistics"
"Operations Manager",Transportation,Medium,"San Francisco",Low,Low,"UX/UI Design",88539.3,Yes,Stable,25,232,1461,0.158795,"Communication & PR"
"Data Scientist",Entertainment,Medium,Sydney,Low,Low,Sales,112234,Yes,Stable,70,180,1091,0.164986,"Data & IT"
"UX Designer",Transportation,Large,Tokyo,Medium,High,"UX/UI Design",95762.5,No,Decline,50,129,993,0.129909,"Communication & PR"
"Cybersecurity Analyst",Telecommunications,Small,"New York",High,High,Marketing,84272.2,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Marketing Specialist",Telecommunications,Large,"San Francisco",Low,Medium,Python,96548.4,Yes,Growth,20,281,2181,0.12884,"Leadership & Strategy"
"Operations Manager",Transportation,Medium,Dubai,High,Medium,"Project Management",46705.7,Yes,Stable,25,232,1461,0.158795,"Communication & PR"
"Cybersecurity Analyst",Transportation,Small,Dubai,Medium,Low,"Machine Learning",97849.3,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Operations Manager",Entertainment,Small,"San Francisco",Medium,High,"Machine Learning",112988,Yes,Stable,25,232,1461,0.158795,"Communication & PR"
"Cybersecurity Analyst",Telecommunications,Small,Dubai,Low,High,"Project Management",101463,Yes,Stable,20,7,54,0.12963,"Medical & Healthcare"
"Software Engineer",Telecommunications,Small,"New York",High,High,Python,103458,Yes,Stable,60,133,1342,0.0991058,"Communication & PR"
"Marketing Specialist",Technology,Medium,Sydney,Medium,Medium,"Machine Learning",86711.7,Yes,Growth,20,281,2181,0.12884,"Leadership & Strategy"
"Operations Manager",Education,Small,Dubai,Medium,Low,"UX/UI Design",97443.4,Yes,Decline,25,232,1461,0.158795,"Communication & PR"
"Software Engineer",Transportation,Small,London,Low,Low,"UX/UI Design",78250,Yes,Growth,60,133,1342,0.0991058,"Communication & PR"
"UX Designer",Energy,Medium,Dubai,Low,Low,JavaScript,83131.8,Yes,Decline,50,129,993,0.129909,"Communication & PR"
"Operations Manager",Telecommunications,Small,"New York",Medium,Medium,"Project Management",129294,No,Stable,25,232,1461,0.158795,"Communication & PR"
"UX Designer",Entertainment,Large,Singapore,Low,Medium,Python,73836.1,No,Decline,50,129,993,0.129909,"Communication & PR"
"Software Engineer",Telecommunications,Small,Tokyo,High,Medium,Cybersecurity,92269.4,No,Growth,60,133,1342,0.0991058,"Communication & PR"
